curso,codigo_g,modalidad,precio_regular_pen,precio_promo_pen,duracion,medios_pago,notas
Cocinas,G5,Online,840,420,por confirmar,Yape/Plin/Tarjeta,Solo online en vivo por Zoom
Obra Interiorista,G3,Online,780,390,por confirmar,Yape/Plin/Tarjeta,Solo online en vivo por Zoom
Espacios Comerciales,G15,Online,700,350,por confirmar,Yape/Plin/Tarjeta,Solo online. Codigo G en conflicto panel vs brochure (Fase 0.1)
Supervision Melamina,G2,Online,598,298,por confirmar,Yape/Plin/Tarjeta,Solo online en vivo por Zoom
