curso,codigo_g,modalidad,sede,precio_regular_pen,precio_promo_pen,duracion,medios_pago,notas
SketchUp + Render,G1,Online,-,740,370,por confirmar,Yape/Tarjeta,Online en vivo por Zoom
SketchUp + Render,G1,Presencial,Surco,1100,550,por confirmar,Yape/Tarjeta,Presencial solo en Surco
Revit BIM,G4,Online,-,740,370,por confirmar,Yape/Tarjeta,Online en vivo por Zoom
Revit BIM,G4,Presencial,Surco,1100,550,por confirmar,Yape/Tarjeta,Presencial solo en Surco
Diseno de Mobiliario,G8,Online,-,740,370,por confirmar,Yape/Tarjeta,Solo online (no tiene presencial)
AutoCAD,G12,Online,-,740,370,por confirmar,Yape/Tarjeta,Solo online. Codigo G en conflicto panel vs brochure (Fase 0.1)
